% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   13-04-2019 16:54:37 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 16:54:37 
2   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-04-2019 17:15:51 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:15:51 
3   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-04-2019 17:36:33 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:36:33 
4   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 17:50:40 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:50:40 
5   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 17:59:13 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:59:13 
6   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   13-04-2019 18:11:12 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:11:12 
7   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   13-04-2019 18:15:41 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:15:41 
8   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   15-04-2019 18:32:04 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:32:04 
9   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 18:34:49 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:34:49 
10   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 18:53:20 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:53:20 
11   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   15-04-2019 18:58:23 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:58:23 
12   1   500.00000000   0.76000000   FM   3.00000000   20   10   PC_HD600_audioengineD3   15-04-2019 19:10:27 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:10:27 
13   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   15-04-2019 19:27:19 
13   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:27:19 
14   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   15-04-2019 19:41:51 
14   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:41:51 
15   1   500.00000000   0.76000000   FM   3.00000000   20   10   PC_HD600_audioengineD3   15-04-2019 19:56:06 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:56:06 
16   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 19:11:06 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:11:06 
17   1   500.00000000   0.76000000   AM   3.00000000   20   19   PC_HD600_audioengineD3   23-04-2019 19:19:30 
17   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:19:30 
18   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   23-04-2019 19:30:24 
18   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:30:24 
19   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   23-04-2019 19:36:51 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:36:51 
20   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   23-04-2019 19:56:21 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:56:21 
