subject,modulation_type,ISI,presented,correct,percentage_correct,d
1,AM,1,200,138,69.0,0.7
1,AM,2,200,153,76.0,1.0
1,AM,3,200,142,71.0,0.78
1,AM,4,200,154,77.0,1.05
1,AM,5,200,154,77.0,1.05
1,FM,1,200,142,71.0,0.78
1,FM,2,200,155,78.0,1.09
1,FM,3,200,144,72.0,0.82
1,FM,4,200,142,71.0,0.78
1,FM,5,200,149,74.0,0.91
2,AM,1,200,148,74.0,0.91
2,AM,2,200,143,72.0,0.82
2,AM,3,200,157,78.0,1.09
2,AM,4,200,159,80.0,1.19
2,AM,5,200,130,65.0,0.54
2,FM,1,200,158,79.0,1.14
2,FM,2,200,153,76.0,1.0
2,FM,3,200,145,72.0,0.82
2,FM,4,200,154,77.0,1.05
2,FM,5,200,153,76.0,1.0
3,AM,1,200,148,74.0,0.91
3,AM,2,200,143,72.0,0.82
3,AM,3,200,156,78.0,1.09
3,AM,4,200,150,75.0,0.95
3,AM,5,200,155,78.0,1.09
3,AM,6,20,11,55.0,0.18
3,FM,1,200,162,81.0,1.24
3,FM,2,200,164,82.0,1.29
3,FM,3,200,165,82.0,1.29
3,FM,4,200,158,79.0,1.14
3,FM,5,200,153,76.0,1.0
4,AM,1,200,152,76.0,1.0
4,AM,2,200,152,76.0,1.0
4,AM,3,200,151,76.0,1.0
4,AM,4,200,153,76.0,1.0
4,AM,5,200,148,74.0,0.91
4,FM,1,200,130,65.0,0.54
4,FM,2,200,153,76.0,1.0
4,FM,3,200,148,74.0,0.91
4,FM,4,200,133,66.0,0.58
4,FM,5,200,134,67.0,0.62
5,AM,1,200,132,66.0,0.58
5,AM,2,200,137,68.0,0.66
5,AM,3,200,146,73.0,0.87
5,AM,4,200,145,72.0,0.82
5,AM,5,200,144,72.0,0.82
5,FM,1,200,140,70.0,0.74
5,FM,2,200,134,67.0,0.62
5,FM,3,200,128,64.0,0.51
5,FM,4,200,139,70.0,0.74
5,FM,5,200,154,77.0,1.05
6,AM,1,200,146,73.0,0.87
6,AM,2,200,137,68.0,0.66
6,AM,3,200,143,72.0,0.82
6,AM,4,200,129,64.0,0.51
6,AM,5,200,128,64.0,0.51
6,FM,1,200,162,81.0,1.24
6,FM,2,200,161,80.0,1.19
6,FM,3,200,161,80.0,1.19
6,FM,4,200,158,79.0,1.14
6,FM,5,200,154,77.0,1.05
7,AM,1,200,150,75.0,0.95
7,AM,2,200,152,76.0,1.0
7,AM,3,200,151,76.0,1.0
7,AM,4,200,147,74.0,0.91
7,AM,5,200,156,78.0,1.09
7,FM,1,200,164,82.0,1.29
7,FM,2,200,151,76.0,1.0
7,FM,3,200,148,74.0,0.91
7,FM,4,200,143,72.0,0.82
7,FM,5,200,165,82.0,1.29
8,AM,1,200,141,70.0,0.74
8,AM,2,200,151,76.0,1.0
8,AM,3,200,136,68.0,0.66
8,AM,4,200,135,68.0,0.66
8,AM,5,200,144,72.0,0.82
8,FM,1,200,145,72.0,0.82
8,FM,2,200,131,66.0,0.58
8,FM,3,200,132,66.0,0.58
8,FM,4,200,143,72.0,0.82
8,FM,5,200,120,60.0,0.36
9,AM,1,200,128,64.0,0.51
9,AM,2,200,128,64.0,0.51
9,AM,3,200,125,62.0,0.43
9,AM,4,200,128,64.0,0.51
9,AM,5,200,129,64.0,0.51
9,FM,1,200,131,66.0,0.58
9,FM,2,200,138,69.0,0.7
9,FM,3,200,134,67.0,0.62
9,FM,4,200,151,76.0,1.0
9,FM,5,200,143,72.0,0.82
10,AM,1,200,115,58.0,0.29
10,AM,2,200,130,65.0,0.54
10,AM,3,200,120,60.0,0.36
10,AM,4,200,118,59.0,0.32
10,AM,5,200,132,66.0,0.58
10,AM,6,200,131,66.0,0.58
10,FM,1,200,156,78.0,1.09
10,FM,2,200,156,78.0,1.09
10,FM,3,200,149,74.0,0.91
10,FM,4,200,147,74.0,0.91
10,FM,5,200,151,76.0,1.0
10,FM,6,200,143,72.0,0.82
