subject,modulation_type,seuils_moyens,sd_seuils
1,AM,-20.722368420000002,1.1949541862536623
1,FM,2.9304537499999994,0.19882644068705596
2,AM,-18.167105263999996,2.2985249071621126
2,FM,3.247461902,0.2282039143418154
3,AM,-17.588157896,1.6000432840601306
3,FM,4.529731606,0.5696396624370724
4,AM,-13.586842106,1.6976101447094671
4,FM,3.2424584180000005,0.4167271167990566
5,AM,-20.013157894,1.287780843507323
5,FM,2.246347546,0.3069408190399536
6,AM,-22.082894738,2.0960100929920102
6,FM,1.48832848,0.055744070550433254
7,AM,-22.836842104,2.293045457987407
7,FM,3.4571413300000002,0.7468568280155361
8,AM,-25.169736842,1.028652871781523
8,FM,2.07562853,0.48306230818022206
9,AM,-14.081578948,2.2651024394743087
9,FM,3.011143138,0.346368684339507
10,AM,-22.613157898,1.6104661169815733
10,FM,3.0474427719999997,0.5504200988984908
