,index,subject,modulation_type,seuil
0,0,1,FM,3.03782171
1,9,1,AM,-22.03947368
2,7,1,AM,-20.40131579
3,6,1,FM,2.72900534
4,5,1,FM,2.84771107
5,8,1,FM,2.77080195
6,3,1,AM,-20.97368421
7,2,1,FM,3.26692868
8,1,1,AM,-18.60526316
9,4,1,AM,-21.59210526
10,27,2,FM,3.63200888
11,24,2,FM,3.1149341
12,23,2,AM,-18.875
13,22,2,FM,2.94681862
14,21,2,FM,3.31286289
15,20,2,AM,-13.73684211
16,28,2,FM,3.23068502
17,26,2,AM,-19.875
18,25,2,AM,-18.35526316
19,29,2,AM,-19.99342105
20,30,3,AM,-19.08552632
21,31,3,FM,3.5473584
22,32,3,AM,-16.02631579
23,34,3,FM,4.83743489
24,35,3,AM,-19.93421053
25,36,3,AM,-16.36842105
26,33,3,FM,4.94534543
27,39,3,FM,4.23711133
28,37,3,FM,5.08140798
29,38,3,AM,-16.52631579
30,40,4,FM,2.42869279
31,41,4,AM,-14.71052632
32,42,4,AM,-16.08552632
33,43,4,FM,3.46473414
34,44,4,AM,-12.875
35,45,4,FM,3.5717314
36,46,4,AM,-13.17105263
37,47,4,FM,3.45689425
38,48,4,FM,3.29023951
39,49,4,AM,-11.09210526
40,59,5,AM,-22.23026316
41,56,5,AM,-19.66447368
42,55,5,FM,1.75456265
43,54,5,AM,-18.21052632
44,53,5,AM,-20.01973684
45,52,5,FM,2.15437078
46,51,5,AM,-19.94078947
47,50,5,FM,2.51383937
48,57,5,FM,2.18178756
49,58,5,FM,2.62717737
50,61,6,AM,-20.52631579
51,62,6,AM,-22.32236842
52,64,6,AM,-19.03289474
53,65,6,FM,1.53830849
54,66,6,FM,1.51280946
55,67,6,AM,-23.69736842
56,68,6,AM,-24.83552632
57,60,6,FM,1.53479619
58,69,6,FM,1.46639051
59,63,6,FM,1.38933775
60,73,7,FM,4.37892799
61,79,7,AM,-26.34210526
62,78,7,FM,4.2231144
63,77,7,AM,-24.07236842
64,70,7,FM,2.77285236
65,71,7,AM,-22.96710526
66,72,7,AM,-19.85526316
67,76,7,FM,2.51903338
68,74,7,FM,3.39177852
69,75,7,AM,-20.94736842
70,85,8,FM,1.64351844
71,84,8,AM,-26.84868421
72,83,8,FM,1.91781733
73,82,8,AM,-24.80921053
74,81,8,AM,-24.02631579
75,80,8,FM,1.95907875
76,87,8,AM,-25.79605263
77,88,8,AM,-24.36842105
78,86,8,FM,1.84065155
79,89,8,FM,3.01707658
80,97,9,FM,2.41641267
81,96,9,AM,-14.65789474
82,95,9,AM,-11.82236842
83,94,9,FM,3.47801842
84,93,9,FM,3.09147774
85,92,9,AM,-15.0
86,91,9,AM,-11.375
87,90,9,FM,2.9334226
88,99,9,AM,-17.55263158
89,98,9,FM,3.13638426
90,10,10,AM,-24.58552632
91,11,10,FM,3.30277011
92,12,10,FM,2.6837693
93,13,10,AM,-20.07236842
94,14,10,AM,-21.55921053
95,15,10,FM,2.14780739
96,16,10,AM,-23.11184211
97,17,10,FM,3.55005626
98,19,10,AM,-23.73684211
99,18,10,FM,3.5528108
