,index,subject,modulation_type,seuil
0,0,1,FM,19.22433447
1,9,1,FM,18.35289132
2,7,1,FM,27.92305622
3,6,1,AM,43.79445786
4,5,1,AM,23.1593553
5,8,1,AM,33.15757444
6,3,1,AM,45.56206339
7,2,1,FM,29.47121746
8,1,1,AM,39.48330844
9,4,1,FM,19.75703257
10,27,2,FM,41.05395688
11,24,2,AM,61.2857243
12,23,2,AM,47.68602231
13,22,2,FM,19.65297772
14,21,2,AM,59.08994266
15,20,2,FM,56.78375486
16,28,2,AM,77.86847998
17,26,2,AM,47.00313697
18,25,2,FM,52.92157749
19,29,2,FM,77.10308621
20,30,3,FM,24.4624901
21,31,3,AM,58.82072115
22,32,3,AM,21.72697065
23,34,3,FM,35.10397968
24,35,3,AM,76.92625398
25,36,3,AM,83.10824005
26,33,3,FM,31.67812148
27,39,3,AM,37.70342924
28,37,3,FM,50.4346836
29,38,3,FM,57.48103472
30,40,4,AM,34.78340527
31,41,4,FM,43.52913636
32,42,4,FM,46.33026834
33,43,4,AM,31.48733463
34,44,4,AM,38.73938315
35,45,4,FM,36.79783016
36,46,4,AM,23.30075652
37,47,4,FM,56.79824342
38,48,4,FM,41.73689401
39,49,4,AM,29.7406987
40,59,5,FM,19.21393695
41,56,5,FM,18.47861046
42,55,5,AM,9.09817633
43,54,5,FM,14.90157788
44,53,5,FM,15.34226121
45,52,5,AM,25.19967601
46,51,5,FM,23.67573735
47,50,5,AM,21.80960414
48,57,5,AM,27.46034388
49,58,5,AM,19.65257475
50,61,6,AM,43.46322462
51,62,6,AM,38.45589728
52,64,6,FM,52.40220052
53,65,6,AM,52.04461521
54,66,6,FM,35.34372075
55,67,6,AM,55.8861218
56,68,6,FM,41.65190408
57,60,6,FM,62.87557511
58,69,6,AM,20.41356543
59,63,6,FM,37.55051383
60,73,7,AM,59.43479401
61,79,7,FM,25.21832391
62,78,7,AM,105.94519422
63,77,7,AM,54.7509564
64,70,7,FM,83.80830275
65,71,7,AM,65.87635647
66,72,7,FM,27.10814648
67,76,7,FM,41.14748488
68,74,7,FM,69.21343099
69,75,7,AM,60.99203075
70,85,8,AM,29.18987913
71,84,8,FM,41.74786432
72,83,8,FM,31.09831629
73,82,8,AM,47.00313697
74,81,8,FM,14.72103908
75,80,8,AM,49.4110083
76,87,8,FM,16.86744716
77,88,8,FM,27.96525803
78,86,8,AM,25.62403294
79,89,8,AM,45.11306327
80,97,9,FM,44.97562426
81,96,9,AM,19.80285457
82,95,9,AM,29.72644191
83,94,9,FM,26.6912556
84,93,9,FM,27.00488385
85,92,9,AM,20.62710063
86,91,9,FM,28.47960203
87,90,9,AM,22.27860461
88,99,9,AM,21.10295026
89,98,9,FM,29.01962165
90,10,10,FM,39.49186441
91,11,10,AM,8.7165866
92,12,10,AM,26.65743482
93,13,10,FM,25.16048689
94,14,10,AM,40.24131329
95,15,10,FM,32.98125193
96,16,10,FM,21.43200805
97,17,10,AM,65.37643423
98,19,10,FM,18.35317355
99,18,10,AM,34.19907332
